"","user_lat","user_long","freq"
"1",-60.673,-45.626,1
"2",-54.5,-67,1
"3",-51.62261,-69.21813,1
"4",-49,-70,1
"5",-47.15,-126.71666,1
"6",-46.541,-71.72375,1
"7",-45.87416,170.50361,1
"8",-45.61667,168.45,1
"9",-45.40837,170.33009,2
"10",-43.5,171.5,1
"11",-42.9,-71.31667,4
"12",-42.87936,147.32941,1
"13",-42.7692,-65.03851,1
"14",-42,147,1
"15",-42,174,6
"16",-41.8707,-73.81622,2
"17",-40,-67,1
"18",-38.95161,-68.0591,3
"19",-38.73965,-72.59842,3
"20",-38.7196,-62.27243,1
"21",-38.65,178,3
"22",-38.00228,-57.55754,5
"23",-37.83333,145,1
"24",-37.814,144.96332,32
"25",-37.46973,-72.35366,1
"26",-37.29415,175.58022,1
"27",-37,145,1
"28",-36.86667,174.76667,3
"29",-36.85,174.78333,1
"30",-36.82699,-73.04977,4
"31",-36.77698,-59.85854,1
"32",-36.61667,-64.28333,1
"33",-36,-60,102
"34",-35.61667,138.15833,2
"35",-35.4323,-60.17271,1
"36",-35.4264,-71.65542,1
"37",-35.28346,149.12807,3
"38",-35.0211,138.59567,1
"39",-35,-57,1
"40",-34.98279,-71.23943,1
"41",-34.92866,138.59863,7
"42",-34.92654,138.57033,1
"43",-34.92145,-57.95453,13
"44",-34.8735,-57.88303,1
"45",-34.86186,-57.91126,1
"46",-34.83346,-56.16735,15
"47",-34.82722,-58.39556,3
"48",-34.82721,-58.39504,1
"49",-34.76895,-58.64714,4
"50",-34.66583,-58.72828,2
"51",-34.66484,-58.53196,1
"52",-34.66018,-58.36744,2
"53",-34.6551,-58.55318,2
"54",-34.65146,-59.43068,1
"55",-34.64966,-58.38341,1
"56",-34.64444,-56.28861,2
"57",-34.64286,-58.52386,1
"58",-34.63413,-58.44322,2
"59",-34.60502,-58.37607,2
"60",-34.59987,-58.56606,1
"61",-34.58333,-58.5,3
"62",-34.57028,-59.105,1
"63",-34.5627,-58.45829,1
"64",-34.5167,-58.5389,4
"65",-34.50316,-58.70596,1
"66",-34.42603,-58.57962,1
"67",-34.17083,-70.74444,1
